LAMINATE,LEVEL,LAST_PASS_SUBSECTOR,COMPONENT_SERIAL_NUMBER,FABLOT,WAFER_ID_XY,RADIUS_CENTER_5,SORT_DESC,TEST_DATE
LAGRANGE,ModFnl-E,1,B5184456,8IQU21017,65700N5RSEE1/133/44,D,p: Stress Fail,8/20/19
LAGRANGE,ModFnl-E,1,B5183873,8IQU21017,65700N5RSEE1/133/66,D,a: LOFFSET FAIL,8/11/19
LAGRANGE,ModFnl-E,1,B5186791,8IQU21017,65700N5RSEE1/21/33,D,O: OB_IOBIST,8/14/19
LAGRANGE,ModFnl-E,1,B5187120,8IQU21017,65700N5RSEE1/21/55,D,p: Stress Fail,8/20/19
LAGRANGE,ModFnl-E,1,B5183875,8IQU21017,65700N5RSEE1/35/22,D,p: Stress Fail,8/21/19
LAGRANGE,ModFnl-E,1,B5187121,8IQU21017,65700N5RSEE1/35/33,D,O: OB_IOBIST,8/20/19
LAGRANGE,ModFnl-E,1,B5186790,8IQU21017,65700N5RSEE1/35/66,D,:: Stress Good,8/17/19
LAGRANGE,ModFnl-E,1,B5183887,8IQU21017,65700N5RSEE1/35/77,D,p: Stress Fail,8/21/19
LAGRANGE,ModFnl-E,1,B5187148,8IQU21017,65700N5XSEA1/21/33,D,p: Stress Fail,8/20/19
LAGRANGE,ModFnl-E,1,B5187182,8IQU21017,65700N5XSEA1/21/66,D,V: EXTIO,8/21/19
LAGRANGE,ModFnl-E,1,B5184455,8IQU21017,65700N5XSEA1/35/77,D,O: OB_IOBIST,8/12/19
LAGRANGE,ModFnl-E,1,B5187122,8IQU21017,65700N5XSEA1/77/88,D,T: XB_IOBIST,8/14/19
LAGRANGE,ModFnl-E,1,B5187186,8IQU21017,65700N5YSEE3/105/77,D,O: OB_IOBIST,8/13/19
LAGRANGE,ModFnl-E,1,B5187154,8IQU21017,65700N5YSEE3/119/33,D,p: Stress Fail,8/20/19
LAGRANGE,ModFnl-E,1,B5187153,8IQU21017,65700N5YSEE3/133/44,D,J: NON-CORE SCAN N,8/20/19
LAGRANGE,ModFnl-E,1,B5187181,8IQU21017,65700N5YSEE3/21/66,D,d: NON-CORE LBIST AC,8/21/19
LAGRANGE,ModFnl-E,1,B5187147,8IQU21017,65700N5YSEE3/35/22,D,p: Stress Fail,8/20/19
LAGRANGE,ModFnl-E,1,B5183872,8IQU21017,65700N5YSEE3/35/33,D,p: Stress Fail,8/21/19
LAGRANGE,ModFnl-E,1,B5187183,8IQU21017,65700N5YSEE3/35/66,D,p: Stress Fail,8/21/19
LAGRANGE,ModFnl-E,1,B5187126,8IQU21017,65700N5YSEE3/49/77,D,p: Stress Fail,8/20/19
LAGRANGE,ModFnl-E,1,B5187149,8IQU21017,65700N5YSEE3/7/55,E,O: OB_IOBIST,8/14/19
LAGRANGE,ModFnl-E,1,B5187159,8IQU21017,65700N60SEE2/49/22,D,V: EXTIO,8/16/19
LAGRANGE,ModFnl-E,1,B5184454,8IQU21017,65700N60SEE2/63/22,C,:: Stress Good,8/20/19
LAGRANGE,ModFnl-E,1,B5187125,8IQU21017,65700N60SEE2/77/55,A,d: NON-CORE LBIST AC,8/14/19
LAGRANGE,ModFnl-E,1,B5183882,8IQU21017,65700N60SEE2/91/88,D,T: XB_IOBIST,8/21/19
