LOT_ID_BASE,WAFER_ID,FAMILY_CODE,"('TOP5_SCF_COUNT', 'M7060P060ATPA')","('TOP5_SCF_COUNT', 'M7125P125ATPA')","('TOP2_SCF_COUNT', 'M7060P060ATPA')","('TOP2_SCF_COUNT', 'M7125P125ATPA')",TP_VMAX,TP_VMIN,YLD_DELTA,Label
8IQT15023,6A04M023SOC2,US,0,0,0,0,100,100,0,
8IQT15023,6A04Q025SOE7,US,0,0,0,0,94.44,94.44,0,
8IQT15023,6A04R041SOE5,US,0,0,0,0,97.22,97.22,0,
8IQT15023,6A04R043SOF6,US,1,1,1,1,88.88,88.88,0,
8IQT15023,6A04R216SOD2,US,0,0,0,0,97.22,97.22,0,
8IQT15023,6A04R244SOA7,US,0,0,0,0,100,100,0,
8IQT15023,6A04R282SOD0,US,0,0,0,0,100,97.22,2.78,
8IQT15023,6A04R283SOH2,US,0,0,0,0,91.66,91.66,0,
8IQT15023,6A04V001SOC7,US,0,0,0,0,100,97.22,2.78,
8IQT15023,6A04V002SOH1,US,0,0,0,0,100,100,0,
8IQT15023,6A04V003SOE0,US,0,0,0,0,100,100,0,
8IQT15023,6A04V005SOF1,US,0,0,0,0,100,100,0,
8IQT15023,6A04V020SOA2,US,0,0,0,0,100,100,0,
8IQT15023,6A04V029SOB5,US,0,0,0,0,100,100,0,
8IQT15023,6A04V035SOD7,US,0,0,0,0,97.22,94.44,2.78,
8IQT15023,6A04V041SOG1,US,0,0,0,0,100,100,0,
8IQT15023,6A04V047SOC1,US,0,0,0,0,94.44,94.44,0,
8IQT15023,6A04V048SOG3,US,0,0,0,0,94.44,94.44,0,
8IQT22023,6A03R105SOH1,P2,0,0,0,0,100,100,0,
8IQT22023,6A05Y071SOB5,P2,0,0,0,0,91.66,91.66,0,
8IQT22023,6A05Y073SOC6,P2,0,0,0,0,97.22,97.22,0,
8IQT22023,6A062085SOE1,P2,0,0,0,0,100,100,0,
8IQT22023,6A062123SOE5,P2,0,0,0,0,94.44,94.44,0,
8IQT22023,6A06F077SOA7,P2,0,0,0,0,100,100,0,
8IQT22023,6A06F079SOC0,P2,0,0,0,0,88.88,88.88,0,
8IQT22023,6A06F080SOF1,P2,0,0,0,0,100,94.44,5.56,
8IQT22023,6A06F082SOG2,P2,0,0,0,0,100,100,0,
8IQT22023,6A06F084SOA0,P2,7,0,7,0,91.66,86.11,5.55,
8IQT22023,6A06F085SOE2,P2,1,0,1,0,97.22,91.66,5.56,
8IQT22023,6A06F086SOB1,P2,0,0,0,0,97.22,94.44,2.78,
8IQT22023,6A06F301SOA2,P2,0,0,0,0,91.66,91.66,0,
8IQT22023,6A06F346SOC5,P2,0,0,0,0,97.22,94.44,2.78,
8IQT22023,6A06F347SOG7,P2,0,0,0,0,100,100,0,
8IQT22023,6Q0DH276SOE6,P2,0,0,0,0,88.88,88.88,0,
8IQT22023,6Q0DM310SOE7,P2,1,1,1,1,86.11,86.11,0,
8IQT22023,6Q0DT158SOC2,P2,1,0,1,0,97.22,94.44,2.78,
8IQT25016,6A05D207SOA6,US,0,0,0,0,94.44,94.44,0,
8IQT25016,6A05D208SOF0,US,0,0,0,0,100,100,0,
8IQT25016,6A05D209SOB7,US,0,0,0,0,100,100,0,
8IQT25016,6A05D210SOF0,US,0,0,0,0,97.22,97.22,0,
8IQT25016,6A05D217SOF2,US,0,0,0,0,97.22,94.44,2.78,
8IQT25016,6A05D218SOC1,US,0,0,0,0,97.22,97.22,0,
8IQT25016,6A05M163SOA2,US,0,0,0,0,100,100,0,
8IQT25016,6A05M165SOB3,US,0,0,0,0,100,100,0,
8IQT25016,6A05M166SOF5,US,0,0,0,0,100,100,0,
8IQT25016,6A05M176SOC6,US,2,1,2,1,97.22,97.22,0,
8IQT25016,6A05M178SOD7,US,1,0,1,0,100,97.22,2.78,
8IQT25016,6A05M181SOA6,US,0,0,0,0,100,100,0,
8IQT25016,6A05M183SOB7,US,0,0,0,0,97.22,97.22,0,
8IQT25016,6A05M186SOH2,US,0,0,0,0,94.44,91.66,2.78,
8IQT26002,6A05J003SOC4,US,1,1,1,1,94.44,88.88,5.56,
8IQT26002,6A05J004SOG6,US,0,0,0,0,100,100,0,
8IQT26002,6A05J005SOD5,US,0,0,0,0,100,100,0,
8IQT26002,6A05J006SOA4,US,0,0,0,0,91.66,91.66,0,
8IQT26002,6A05J008SOB5,US,0,0,0,0,88.88,88.88,0,
8IQT26002,6A05J019SOD0,US,0,0,0,0,97.22,97.22,0,
8IQT26002,6A05J020SOG1,US,0,0,0,0,97.22,94.44,2.78,
8IQT26002,6A05J045SOG7,US,2,0,2,0,97.22,91.66,5.56,
8IQT26002,6A05J048SOE7,US,0,0,0,0,97.22,97.22,0,
8IQT26002,6A05M131SOA3,US,0,0,0,0,100,100,0,
8IQT26002,6A05M132SOE5,US,0,0,0,0,97.22,94.44,2.78,
8IQT26002,6A05M134SOF6,US,0,0,0,0,94.44,94.44,0,
8IQT26002,6A05M135SOC5,US,0,0,0,0,97.22,91.66,5.56,
8IQT26002,6A05T364SOF3,US,0,0,0,0,97.22,97.22,0,
8IQT26002,6A05T365SOC2,US,0,0,0,0,100,100,0,
8IQT26002,6A05X088SOG0,US,0,0,0,0,88.88,88.88,0,
8IQT26002,6A05X090SOG0,US,0,0,0,0,97.22,97.22,0,
8IQT26003,6A03C200SOB4,P2,0,0,0,0,100,100,0,
8IQT26003,6A03H152SOF6,P2,0,0,0,0,94.44,94.44,0,
8IQT26003,6A03R075SOC5,P2,0,0,0,0,100,100,0,
8IQT26003,6A03Z066SOF3,P2,0,0,0,0,100,97.22,2.78,
8IQT26003,6Q0DV077SOB2,P2,1,1,0,0,91.66,91.66,0,
8IQT26003,6Q0E4203SOA2,P2,0,0,0,0,97.22,97.22,0,
8IQT26003,6Q0E6218SOE5,P2,0,0,0,0,91.66,91.66,0,
8IQT26003,6Q0E8224SOA2,P2,0,0,0,0,100,100,0,
8IQT26003,6Q0EG031SOG6,P2,0,0,0,0,94.44,94.44,0,
8IQT26007,6A05U187SOH1,US,0,0,0,0,100,100,0,
8IQT26007,6A05U188SOE0,US,0,0,0,0,100,100,0,
8IQT26007,6A067250SOG3,US,0,0,0,0,94.44,94.44,0,
8IQT26007,6A067251SOD2,US,0,0,0,0,97.22,97.22,0,
8IQT26007,6A067299SOD5,US,0,0,0,0,100,100,0,
8IQT26007,6A069182SOA4,US,0,0,0,0,91.66,91.66,0,
8IQT26007,6A069192SOF0,US,0,0,0,0,100,100,0,
8IQT26008,6A067295SOB3,US,0,0,0,0,97.22,97.22,0,
