parm,short_name,key,category
SAILALL_H4_0p65Vto1p05V_PerfectYield,SailAll_Vnom,L1,Sail
SAILALL_H4_0p50Vto1p05V_PerfectYield,SailAll_Vmin,L1,Sail
SAIL1_H4_0p65Vto1p05V_PerfectYield,Sail1_Vnom,L2,Sail
SAIL1_H4_0p50Vto1p05V_PerfectYield,Sail1_Vmin,L2,Sail
SAIL2_H4_0p65Vto1p05V_PerfectYield,Sail2_Vnom,L2,Sail
SAIL2_H4_0p50Vto1p05V_PerfectYield,Sail2_Vmin,L2,Sail
SAIL1_H4_0p65V_SkipTest_Yield,Sail1_SkipTest_0p65v,L3,Sail
SAIL1_H4_0p50V_SkipTest_Yield,Sail1_SkipTest_0p50v,L3,Sail
SAIL1_H4_0p75V_SkipTest_Yield,Sail1_SkipTest_0p75v,L3,Sail
SAIL1_H4_1p05V_SkipTest_Yield,Sail1_SkipTest_1p05v,L3,Sail
SAIL2_H4_0p65V_SkipTest_Yield,Sail2_SkipTest_0p65v,L3,Sail
SAIL2_H4_0p50V_SkipTest_Yield,Sail2_SkipTest_0p50v,L3,Sail
SAIL2_H4_0p75V_SkipTest_Yield,Sail2_SkipTest_0p75v,L3,Sail
SAIL2_H4_1p05V_SkipTest_Yield,Sail2_SkipTest_1p05v,L3,Sail
SAIL1_H4_Continuity_PerfectYield,Sail1_Continuity,L3,Other
SAIL2_H4_Continuity_PerfectYield,Sail2_Continuity,L3,Other
PELEALL_H4_K1KWMMarch90p75Vto1p05V_PerfectYield,PeleAll_1K_Vnom,L1,1K
PELEALL_H4_K1KWMMarch90p655Vto1p05V_PerfectYield,PeleAll_1K_Vmin,L1,1K
PELE1_H4_K1KWMMarch90p75Vto1p05V_PerfectYield,Pele1_1K_Vnom,L2,1K
PELE1_H4_K1KWMMarch90p655Vto1p05V_PerfectYield,Pele1_1K_Vmin,L2,1K
PELE2_H4_K1KWMMarch90p75Vto1p05V_PerfectYield,Pele2_1K_Vnom,L2,1K
PELE2_H4_K1KWMMarch90p655Vto1p05V_PerfectYield,Pele2_1K_Vmin,L2,1K
