parameter,lot_id,date,Owner
VCHN_N3_chn1_RES_LT,A25XR,2022-06-14,BEOL
BEOL_STK_N3_kelvin~Res_LT,A25XR,2022-06-14,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
PCHK_0.1V_01_LT,A24D3,2022-05-27,BEOL
VCHN_HB_chn1_RES_LT,A24D3,2022-05-27,BEOL
VNCAP_D5_D8_40_44_DUT2_LT,A26WU,2022-05-27,BEOL
CMBSRP_D8_DUT1_RES_LT,A24D3,2022-05-27,BEOL
CMBSRP_D8_DUT2_RES_LT,A26WU,2022-05-27,BEOL
METAL_KELVIN_M4_LT,A24D3,2022-05-27,BEOL
METAL_KELVIN_Z4_LT,A24D3,2022-05-27,BEOL
METAL_KELVIN_D8_LT,A24D3,2022-05-27,BEOL
ISOVIA_ISO_Y1_LT,A24D3,2022-05-27,BEOL
HB_ISOVIA~Res_LT,A24D3,2022-05-27,BEOL
HB_ISOVIA_E~Res_LT,A24D3,2022-05-27,BEOL
HB_ISOVIA_PAB~Res_LT,A24D3,2022-05-27,BEOL
HB_ISOVIA_D~Res_LT,A24D3,2022-05-27,BEOL
Y1_ISOVIA~Res_LT,A24D3,2022-05-27,BEOL
Y1_ISOVIA_E~Res_LT,A24D3,2022-05-27,BEOL
Y1_ISOVIA_PAB~Res_LT,A24D3,2022-05-27,BEOL
Y1_ISOVIA_D~Res_LT,A24D3,2022-05-27,BEOL
BEOL_STK_HB_kelvin~Res_LT,A24D3,2022-05-27,BEOL
BEOL_STK_Y1_kelvin~Res_LT,A24D3,2022-05-27,BEOL
CMBSRP_D8_DUT4_RES_LT,A26WU,2022-05-27,BEOL
CMBSRP_D8_DUT3_RES_LT,A26WU,2022-05-27,BEOL
QMETAL_D8~BV_LT,A24R3,2022-05-14,REL
QVIACHN_S6_D6~BV_LT,A24R3,2022-05-14,REL
EGP_NBTI_150_20F_Ref_ID_LT,A24R3,2022-05-14,REL
UN_PBTI_PID_6X_08_Ref_ID_LT,A24R3,2022-05-14,REL
UP_NBTI_PID_6X_08_Ref_ID_LT,A24R3,2022-05-14,REL
SGN_PBTI_08_40F_U_Ref_ID_LT,A24R3,2022-05-14,REL
SGP_NBTI_08_40F_U_Ref_ID_LT,A24R3,2022-05-14,REL
SGP_NBTI_150_08_40F_U_Ref_ID_LT,A24R3,2022-05-14,REL
SGP_NBTI_150_08_40F_U_SHIFT2_LT,A24R3,2022-05-14,REL
9T_M3PWR_4pt~Res_LT,A22CG,2022-05-12,BEOL
9T_M3signal_4pt~Res_LT,A22CG,2022-05-12,BEOL
BEOLCAP_M3_DOWN_LT,A25NF,2022-05-12,BEOL
vchnA_V2_DUT1_RES_LT,A22CG,2022-05-12,BEOL
vchnB_V2_DUT1_RES_LT,A25NF,2022-05-12,BEOL
vchnB_V2_DUT2_RES_LT,A25NF,2022-05-12,BEOL
vchnA_MD_DUT1_RES_LT,A22CG,2022-05-12,BEOL
vchnA_S7_DUT1_RES_LT,A22CG,2022-05-12,BEOL
METAL_KELVIN_M3_LT,A22CG,2022-05-12,BEOL
METAL_KELVIN_J4_LT,A22CG,2022-05-12,BEOL
WireRes_M3_3W3S_Res_LT,A25NF,2022-05-12,BEOL
ISOVIA_V2_RES_LT,A22CG,2022-05-12,BEOL
ISOVIA_ISO_MD_Res_LT,A22CG,2022-05-12,BEOL
ISOVIA_BAR_V_MD_Res_LT,A25NF,2022-05-12,BEOL
ISOVIA_BAR_H_V2_Res_LT,A25NF,2022-05-12,BEOL
ISOVIA_BAR_H_MD_Res_LT,A25NF,2022-05-12,BEOL
M3PWR_w36s21_4pt~Res_LT,A22CG,2022-05-12,BEOL
M3PWR_w36s33_4pt~Res_LT,A22CG,2022-05-12,BEOL
M3PWR_w36s62_4pt~Res_LT,A22CG,2022-05-12,BEOL
BEOL_STK_MD_kelvin~Res_LT,A22CG,2022-05-12,BEOL
BEOL_STK_S6_kelvin~Res_LT,A22CG,2022-05-12,BEOL
9T_MDBARPWR_4pt~Res_LT,A22CG,2022-05-12,BEOL
QMIM_500x500x1ea_PM_LKG~Lk_LT,A22CG,2022-05-12,BEOL
QMIM_500x500x1ea_PM~BV_LT,A22CG,2022-05-12,BEOL
P032_FET_PU_Iginv_LT,A22CG,2022-05-12,SRAM
PL032S_FET_PU_Iginv_LT,A22CG,2022-05-12,SRAM
Cap_P_type_LVT_3_8_60_162000_Cov_LT,A22CG,2022-05-12,Device
Cap_P_type_ULVT_3_8_60_MDB_54000_Cinv@0.75V_LT,A22CG,2022-05-12,Device
Cap_P_type_ULVT_3_8_60_MDB_54000_Cov_LT,A22CG,2022-05-12,Device
Cap_P_type_LVT_20_200_280_20400_Iginv@1V_LT,A22CG,2022-05-12,Device
CAP_P_ULVT_4_150_230_7700_Ij_LT,A22CG,2022-05-12,Device
Cap_P_type_LVT_20_200_280_20400_Toxgl_LT,A22CG,2022-05-12,Device
Cap_P_type_RVT_3_8_60_MDB_54000_Cov_LT,A22CG,2022-05-12,Device
vchnC_MD_DUT1_RES_LT,A25NF,2022-05-12,BEOL
vchnC_S7_DUT1_RES_LT,A25NF,2022-05-12,BEOL
vchnD_S7_DUT1_RES_LT,A25NF,2022-05-12,BEOL
vchnA_V2_DUT4_RES_LT,A25NF,2022-05-12,BEOL
vchnB_V2_DUT6_RES_LT,A25NF,2022-05-12,BEOL
ISOVIA_LRG_MD_Res_LT,A25NF,2022-05-12,BEOL
ISOVIA_PAB_V2_Res_LT,A25NF,2022-05-12,BEOL
QMETAL_M4_LKG~Lk_LT,A21HN,2022-04-20,REL
MIMCAP_QM_HMPM_1900x600_cap_LT,A22U5,2022-04-15,BEOL
MIMCAP_QM_HMPM_20x20_cap_LT,A22U5,2022-04-15,BEOL
MIMCAP_QM_HMPM_30x30_cap_LT,A22U5,2022-04-15,BEOL
