parameter,lot_id,date,Owner
DLW_P_LVT_70_150_DDB_4_Iodlin@0.4Vod_M1,A2CY9,2022-05-31,Device
DLW_P_LVT_30_90_DDB_4_Idlin_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_30_90_DDB_4_Idsat@0.75V_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_30_90_DDB_4_Ihigh@0.75V_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_30_90_DDB_4_Iodlin@0.4Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_30_90_DDB_4_Iodlin@0.5Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_30_90_DDB_4_Iodlin@0.8Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_40_100_DDB_4_Idlin_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_40_100_DDB_4_Idsat@0.75V_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_40_100_DDB_4_Ihigh@0.75V_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_40_100_DDB_4_Iodlin@0.4Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_40_100_DDB_4_Iodlin@0.5Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_40_100_DDB_4_Iodlin@0.8Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_150_230_DDB_4_Iodlin@0.4Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_150_230_DDB_4_Iodlin@0.5Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_150_230_DDB_4_Iodlin@0.8Vod_M1,A2AKA,2022-04-30,Device
DLW_P_LVT_200_280_DDB_4_Iodlin@0.8Vod_M1,A2AKA,2022-04-30,Device
Toxgl_P_type_RVT_3_8_60_MDB_54000_1V_M1,A2ATR,2022-04-30,Device
M032_40FIN_C_PD_Vtsat_M1,A2AHP,2022-04-22,SRAM
DLW_N_EG_200_280_DDB_4_Vtlin_M1,A2C01,2022-04-19,Device
