parameter,lot_id,date,Owner
JQ2_1x4_Via_kelvin_Thru_THSLOT_Res_LT,A2D78,2022-09-03,BEOL
DLW_P_EG_150_230_DDB_4_Idlin_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_200_280_DDB_4_Iodlin@0.8Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_200_280_DDB_4_Iodlin@0.5Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_200_280_DDB_4_Iodlin@0.4Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_200_280_DDB_4_Idlin_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_150_230_DDB_4_Iodlin@0.8Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_150_230_DDB_4_Iodlin@0.5Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_150_230_DDB_4_Iodlin@0.4Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_150_230_DDB_4_Idlin_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_100_180_DDB_4_Iodlin@0.8Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_100_180_DDB_4_Iodlin@0.5Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_100_180_DDB_4_Iodlin@0.4Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_100_180_DDB_4_Idlin_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_70_150_DDB_4_Iodlin@0.8Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_70_150_DDB_4_Iodlin@0.5Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_70_150_DDB_4_Iodlin@0.4Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_70_150_DDB_4_Ihigh@0.75V_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_70_150_DDB_4_Idlin_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_40_100_DDB_4_Iodlin@0.8Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_40_100_DDB_4_Iodlin@0.5Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_40_100_DDB_4_Iodlin@0.4Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_40_100_DDB_4_Ihigh@0.75V_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_40_100_DDB_4_Idsat@0.75V_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_40_100_DDB_4_Idlin_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_30_90_DDB_4_Iodlin@0.8Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_30_90_DDB_4_Iodlin@0.5Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_30_90_DDB_4_Iodlin@0.4Vod_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_30_90_DDB_4_Ihigh@0.75V_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_30_90_DDB_4_Idsat@0.75V_LT,A2DYN,2022-08-15,Device
DLW_P_LVT_30_90_DDB_4_Idlin_LT,A2DYN,2022-08-15,Device
RMC_0.5_0.5-Res10u_LT,A2DYN,2022-08-15,Device
