PDID,Dcitem,Module,Group,Product,,,,,,,
KU017955,FIN PW,FEOL,FIN,P10_zA,,,,,,,
KU019303,FC ACI CD (54CPP&1CPP),FEOL,FIN,P10_DD2,,,,,,,
KU019331,FC ACI CD (54CPP&1CPP),FEOL,FIN,P10_DD2,,,,,,,
KU019671,FE ACI CD (54CPP&1CPP),FEOL,FIN,P10_DD2,,,,,,,
KU019703,FE ACI CD (54CPP&1CPP),FEOL,FIN,P10_DD2,,,,,,,
KU032656,RX ACI CD,FEOL,FIN,P10_DD2,,,,,,,
KU048805,FIN BCD,FEOL,FIN,P10_zA,,,,,,,
KU048805,FIN TCD,FEOL,FIN,P10_zA,,,,,,,
KU048805,Fin HT,FEOL,FIN,P10_zA,,,,,,,
KU066025,PX ACI CD,FEOL,PC,P10_zA,,,,,,,
KU071913,PC PW,FEOL,PC,P10_zA,,,,,,,
KU072523,PC ACI CD (Logic 54CPP),FEOL,PC,P10_zA,,,,,,,
KU072615,PC OCD (Logic 60CPP),FEOL,PC,P10_zA,,,,,,,
KU072615,PC OCD (SRAM 54CPP),FEOL,PC,P10_zA,,,,,,,
KU080701,SP2 THK,FEOL,PC,P10_zA,,,,,,,
KU084551,TK eSiGe proximity (54CPP),FEOL,SD,P10_DD2,,,,,,,
KU084551,TK recess depth (54CPP),FEOL,SD,P10_DD2,,,,,,,
KU086411,TJ ACI CD,FEOL,SD,P10_DD2,,,,,,,
KU087211,TJ recess depth (54CPP),FEOL,SD,P10_DD2,,,,,,,
KU087211,eSiGe proximity (54CPP),FEOL,SD,P10_DD2,,,,,,,
KU088011,eSiGe lateral growth CD_1fin,FEOL,SD,P10_DD2,,,,,,,
KU088011,eSiGe lateral growth CD_3fin,FEOL,SD,P10_DD2,,,,,,,
KU092111,RG ACI CD,FEOL,SD,P10_DD2,,,,,,,
KU092311,RG recess depth (54CPP),FEOL,SD,P10_DD2,,,,,,,
KU092311,eSD proximity (54CPP),FEOL,SD,P10_DD2,,,,,,,
KU093911,eSD lateral growth CD_1fin,FEOL,SD,P10_DD2,,,,,,,
KU093911,eSD lateral growth CD_3fin,FEOL,SD,P10_DD2,,,,,,,
KU221751,CT ACI CD1(SRAM),FEOL,RMG,P10_zA,,,,,,,
KU221771,CT OCD BCD (54CPP),FEOL,RMG,P10_zA,,,,,,,
KU242110,Gate ACI CD (SRAM),FEOL,RMG,P10_zA,,,,,,,
KU243150,IL/HK THK,FEOL,RMG,P10_zA,,,,,,,
KU247800,LaO THK,FEOL,RMG,P10_zA,,,,,,,
KU248802,PSA TiN THK,FEOL,RMG,P10_zA,,,,,,,
KU251003,Remain PSA TiN THK,FEOL,RMG,P10_zA,,,,,,,
KU251515,12.5 1st pTiN THK,FEOL,RMG,P10_DD2,,,,,,,
KU258215,13.0 2nd TiN THK(TP),FEOL,RMG,P10_DD2,,,,,,,
KU261915,13.2 3rd pTIN THK(TR),FEOL,RMG,P10_DD2,,,,,,,
KU265515,13.5 4th TiN THK,FEOL,RMG,P10_DD2,,,,,,,
KU269215,TiAlC THK,FEOL,RMG,P10_DD2,,,,,,,
KU274828,Metal gate height OCD (RVTN 54CPP),FEOL,RMG,P10_zA,,,,,,,
KU276911,SAC HT (RVTN 54CPP),FEOL,RMG,P10_zA,,,,,,,
KU290550,FMB ACI CD (54CPP&1CPP),FEOL,RMG,P10_DD2,,,,,,,
