parameter,lot_id,date,Owner
M3PWR_w36s62_4pt~Res_M5,A2ABF,6/1/22,FEOLMOL_HOL
,,,
EGP_NBTI_150_20F_Ref_ID_M5,A2BFT,5/31/22,REL
EGP_NBTI_150_20F_Ref_ID_M5,A2BFT,5/31/22,REL
EGP_NBTI_150_20F_Ref_ID_M5,A2BFT,5/31/22,REL
EGP_NBTI_150_20F_Ref_ID_M5,A2BFT,5/31/22,REL
,,,
SGN_PBTI_08_40F_U_Ref_ID_M5,A2BFT,5/31/22,REL
SGP_NBTI_08_40F_U_Ref_ID_M5,A2BFT,5/31/22,REL
SGP_NBTI_150_08_40F_U_Ref_ID_M5,A2BFT,5/31/22,REL
SGP_NBTI_150_08_40F_U_SHIFT2_M5,A2BFT,5/31/22,REL
,,,
CMBSRP_M3_DUT1_RES_M5,A28R6,4/26/22,BEOL
CMBSRP_M3_DUT1_RES_M5,A28R6,4/26/22,BEOL
CMBSRP_M3_DUT1_RES_M5,A28R6,4/26/22,BEOL
CMBSRP_M3_DUT1_RES_M5,A28R6,4/26/22,BEOL
CMBSRP_M3_DUT2_RES_M5,A28R6,4/26/22,BEOL
CMBSRP_M3_DUT2_RES_M5,A28R6,4/26/22,BEOL
CMBSRP_M3_DUT2_RES_M5,A28R6,4/26/22,BEOL
CMBSRP_M3_DUT2_RES_M5,A28R6,4/26/22,BEOL
,,,
vchnA_V2_DUT2_RES_M5,A28R6,4/26/22,BEOL
,,,
METAL_KELVIN_M3_M5,A28R6,4/26/22,BEOL
,,,
9T_M3signal_4pt~Res_M5,A28R6,4/26/22,FEOLMOL_HOL
M3PWR_w36s21_4pt~Res_M5,A28R6,4/26/22,FEOLMOL_HOL
M3_w24s16_4pt~Res_M5,A28R6,4/26/22,FEOLMOL_HOL
,,,
vchnA_V2_DUT1_RES_M5,A2AZ7,4/24/22,BEOL
vchnB_V2_DUT1_RES_M5,A2AZ7,4/24/22,BEOL
vchnB_V2_DUT2_RES_M5,A2AZ7,4/24/22,BEOL
,,,
TPLL053_FET_RPG_Vtlin_M5,A2AZ7,4/24/22,SRAM
,,,
SP_HCI_after_095_M5,A29NZ,4/24/22,REL
,,,
METAL_KELVIN_Z4_M5,A25NF,4/7/22,BEOL
,,,
EGP_NBTI_150_20F_PreVt_M5,A24R3,4/7/22,REL
EGP_NBTI_150_20F_PreVt_M5,A24R3,4/7/22,REL
EGP_NBTI_150_20F_PreVt_M5,A24R3,4/7/22,REL
EGP_NBTI_150_20F_PreVt_M5,A24R3,4/7/22,REL
,,,
SP_HCI_after_lin_M5,A24R3,4/7/22,REL
,,,
CMBSRP_M4_DUT4_RES_M5,A25NF,4/7/22,BEOL
,,,
ISOVIA_V2_RES_M5,A21HN,3/7/22,BEOL
ISOVIA_ISO_MD_Res_M5,A21HN,3/7/22,BEOL
,,,
vchnB_V3_DUT4_RES_M5,A21HN,3/7/22,BEOL
vchnB_V3_DUT4_RES_M5,A21HN,3/7/22,BEOL
vchnB_V3_DUT4_RES_M5,A21HN,3/7/22,BEOL
vchnB_V3_DUT4_RES_M5,A21HN,3/7/22,BEOL
,,,
METAL_KELVIN_J4_M5,A21HN,3/7/22,BEOL
METAL_KELVIN_M4_M5,A21HN,3/7/22,BEOL
,,,
PL032S_bit_PD_R_Idsat_M5,A21HN,3/7/22,SRAM
PL032S_FET_PU_Iginv_M5,A21HN,3/7/22,SRAM
,,,
CMBSRP_M4_DUT3_RES_M5,A21HN,3/7/22,BEOL
,,,
PUL9T4FMDBREF~Vtsat_100n_M5,A20C3,2/23/22,Device
,,,
PUL9T4FMDBREF~Vtlin_100n_M5,A1Z2T,2/14/22,Device
,,,
SGP_NBTI_08_40F_U_VSENSE_M5,A22U5,2/13/22,REL
SGP_NBTI_08_40F_U_VSENSE_M5,A22U5,2/13/22,REL
SGP_NBTI_08_40F_U_VSENSE_M5,A22U5,2/13/22,REL
SGP_NBTI_08_40F_U_VSENSE_M5,A22U5,2/13/22,REL
,,,
SP_HCI_after_lin_095_M5,A22U5,2/13/22,REL
,,,
NSL9T2FMDBNF1~Vtlin_100n_M5,A1Y29,2/11/22,Device
NSL9T4FMDBREF~Vtlin_100n_M5,A1Y29,2/11/22,Device
NSL825T3FMDBNF1~Vtlin_100n_M5,A1Y29,2/11/22,Device
,,,
SGN_PBTI_08_40F_U_SHIFT2_M5,A1YUH,2/8/22,REL
SGN_PBTI_08_40F_U_SHIFT2_M5,A1YUH,2/8/22,REL
SGN_PBTI_08_40F_U_SHIFT2_M5,A1YUH,2/8/22,REL
SGN_PBTI_08_40F_U_SHIFT2_M5,A1YUH,2/8/22,REL
