parameter,lot_id,date,Owner
CMBSRP_D8_DUT1_RES_LT,A2115,6/13/22,BEOL
CMBSRP_D8_DUT2_RES_LT,A2AZ8,6/13/22,BEOL
HB_ISOVIA_E~Res_LT,A2115,6/13/22,BEOL
HB_ISOVIA_PAB~Res_LT,A2115,6/13/22,BEOL
HB_ISOVIA_D~Res_LT,A2115,6/13/22,BEOL
Y1_ISOVIA_PAB~Res_LT,A2115,6/13/22,BEOL
BEOL_STK_Y1_kelvin~Res_LT,A2115,6/13/22,BEOL
CMBSRP_D8_DUT3_RES_LT,A2AZ8,6/13/22,BEOL
QMETAL_D8~BV_LT,A2698,5/15/22,REL
EGP_NBTI_150_20F_Ref_ID_LT,A2698,5/15/22,REL
UN_PBTI_PID_6X_08_Ref_ID_LT,A2698,5/15/22,REL
UP_NBTI_PID_6X_08_Ref_ID_LT,A2698,5/15/22,REL
SGN_PBTI_08_40F_U_Ref_ID_LT,A2698,5/15/22,REL
SGP_NBTI_08_40F_U_Ref_ID_LT,A2698,5/15/22,REL
SGP_NBTI_150_08_40F_U_Ref_ID_LT,A2698,5/15/22,REL
VNCAP_D5_D8_40_44_DUT2_LT,A2698,5/14/22,BEOL
ISOVIA_BAR_H_V2_Res_LT,A2698,5/14/22,BEOL
ISOVIA_LRG_MD_Res_LT,A2698,5/14/22,BEOL
vchnA_MD_DUT1_RES_LT,A24R3,5/13/22,BEOL
vchnA_S7_DUT1_RES_LT,A24R3,5/13/22,BEOL
METAL_KELVIN_D8_LT,A24R3,5/13/22,BEOL
ISOVIA_V2_RES_LT,A24R3,5/13/22,BEOL
ISOVIA_ISO_MD_Res_LT,A24R3,5/13/22,BEOL
ISOVIA_ISO_Y1_LT,A24R3,5/13/22,BEOL
Y1_ISOVIA~Res_LT,A24R3,5/13/22,BEOL
Y1_ISOVIA_E~Res_LT,A24R3,5/13/22,BEOL
Y1_ISOVIA_D~Res_LT,A24R3,5/13/22,BEOL
BEOL_STK_CM_OI2_kelvin1~Res_LT,A24R3,5/13/22,BEOL
BEOL_STK_CM_OI2_kelvin2~Res_LT,A24R3,5/13/22,BEOL
BEOL_STK_V3_kelvin~Res_LT,A24R3,5/13/22,BEOL
BEOL_STK_MD_kelvin~Res_LT,A24R3,5/13/22,BEOL
9T_MDBARPWR_4pt~Res_LT,A24R3,5/13/22,BEOL
Cap_P_type_ULVT_3_8_60_MDB_54000_Cov_LT,A24R3,5/13/22,Device
MIMCAP_QM_HMPM_1900x600_cap_LT,A202D,5/5/22,BEOL
BEOLCAP_M4_TOTAL_LT,A202D,5/5/22,BEOL
MIMCAP_QM_HMPM_20x20_cap_LT,A202D,5/5/22,BEOL
MIMCAP_QM_HMPM_30x30_cap_LT,A202D,5/5/22,BEOL
MIMCAP_QM_PM_20x20_cap_LT,A202D,5/5/22,BEOL
MIMCAP_QM_PM_30x30_cap_LT,A202D,5/5/22,BEOL
MIMCAP_QM_HM_20x20_cap_LT,A202D,5/5/22,BEOL
MIMCAP_QM_HM_30x30_cap_LT,A202D,5/5/22,BEOL
ISOVIA_BAR_V_MD_Res_LT,A202D,5/5/22,BEOL
ISOVIA_BAR_H_MD_Res_LT,A202D,5/5/22,BEOL
QMETAL_M4_LKG~Lk_LT,A202D,5/5/22,REL
vchnC_MD_DUT1_RES_LT,A202D,5/5/22,BEOL
vchnD_MD_DUT1_RES_LT,A202D,5/5/22,BEOL
vchnC_S7_DUT1_RES_LT,A202D,5/5/22,BEOL
VCHN_JQ2_chn1_RES_LT,A21HN,4/20/22,BEOL
METAL_KELVIN_Z4_LT,A21HN,4/20/22,BEOL
QMIM_10x10x480ea_PM_LKG~Lk_LT,A21HN,4/20/22,BEOL
QMIM_500x500x1ea_PM_LKG~Lk_LT,A21HN,4/20/22,BEOL
QMIM_500x500x1ea_PM~BV_LT,A21HN,4/20/22,BEOL
PL032S_FET_PU_Iginv_LT,A21HN,4/19/22,SRAM
DLW_N_EGU_80_160_DDB_4_Vtlin_LT,A21HN,4/19/22,Device
DLW_N_EGU_80_160_DDB_4_Ioffs@1.2V_LT,A21HN,4/19/22,Device
Cap_P_type_ULVT_3_8_60_MDB_54000_Cinv@0.75V_LT,A21HN,4/19/22,Device
QVIACHN_S6_D6~BV_LT,A1YUH,4/16/22,REL
VCHN_JQ2_chn2_RES_LT,A1YUH,4/14/22,BEOL
VNCAP_M2_D8_40_44_DUT1_LT,A1YUH,4/14/22,BEOL
DLW_N_EGV_100_180_DDB_4_Ilow@1.5V_LT,A231T,4/12/22,Device
DLW_N_EGV_100_180_DDB_4_Idsat@1.5V_LT,A231T,4/12/22,Device
DLW_N_EGU_80_160_DDB_4_Ilow@1.2V_LT,A231T,4/12/22,Device
DLW_N_EGU_80_160_DDB_4_Idsat@1.2V_LT,A231T,4/12/22,Device
WireRes_M1_3W3S_H_Res_LT,A1ZAT,4/10/22,BEOL
VR_SN_27_20_8_54_Vbd_v3_LT,A1YGB,4/10/22,REL
B1_BEOLCAP_lateral_C0_LT,A23AN,4/7/22,BEOL
B1_BEOLCAP_total_C0_LT,A23AN,4/7/22,BEOL
METAL_KELVIN_B1_LT,A1ZT5,4/7/22,BEOL
WireRes_B1_3W3S_Res_LT,A23AN,4/7/22,BEOL
DLW_N_EG_200_280_DDB_4_Ihigh@1.8V_LT,A1ZT5,4/7/22,Device
DLW_N_EG_150_230_DDB_4_Ihigh@1.8V_LT,A1ZT5,4/7/22,Device
DLW_N_LVT_40_100_DDB_4_Vtsat@0.75V_LT,A1ZT5,4/7/22,Device
DLW_N_LVT_40_100_DDB_4_Vtlin_LT,A1ZT5,4/7/22,Device
DLW_N_LVT_30_90_DDB_4_Vtsat@0.75V_LT,A1ZT5,4/7/22,Device
ncap_0.15_Cgd@Vgd=0.3V_1M_LT,A1ZT5,4/7/22,Device
CAP_N_LVT_20_150_230_24500_Ij_LT,A1ZT5,4/7/22,Device
PUL9T4FMDBREF~Vtlin_100n_LT,A1ZT5,4/7/22,Device
CMBSRP_B1_H_DUT4_RES_LT,A23AN,4/7/22,BEOL
CMBSRP_B1_H_DUT3_RES_LT,A23AN,4/7/22,BEOL
