parameter,lot_id,date,Owner
CMBSRP_H1_H_DUT2_RES_LT,A2AC5,7/22/22,BEOL
,,,
OI1_BEOLCAP_vertical_C0_LT,A2A19,7/6/22,BEOL
,,,
P032_bit_PD_L_Vtsat_LT,A2A19,7/6/22,SRAM
P032_1b_PG_Vtsat_avg_LT,A2A19,7/6/22,SRAM
P032_4FET_PD_Isoff_LT,A2A19,7/6/22,SRAM
P032_FET_PD_Idoff_LT,A2A19,7/6/22,SRAM
P032_FET_PD_Vtsat_LT,A2A19,7/6/22,SRAM
P032_4FET_PG_Isoff_LT,A2A19,7/6/22,SRAM
P032_FET_PG_Idoff_LT,A2A19,7/6/22,SRAM
P032_FET_PG_Vtsat_LT,A2A19,7/6/22,SRAM
PL032S_bit_PD_L_Vtsat_LT,A2A19,7/6/22,SRAM
PL032S_4FET_PD_Isoff_LT,A2A19,7/6/22,SRAM
PL032S_FET_PD_Idoff_LT,A2A19,7/6/22,SRAM
PL032S_FET_PD_Vtsat_LT,A2A19,7/6/22,SRAM
PL032S_4FET_PG_Isoff_LT,A2A19,7/6/22,SRAM
PL032S_FET_PG_Idoff_LT,A2A19,7/6/22,SRAM
PL032S_FET_PG_Vtlin_LT,A2A19,7/6/22,SRAM
PL032S_FET_PG_Vtsat_LT,A2A19,7/6/22,SRAM
TPLL053_1b_RPD_Vtsat_LT,A2A19,7/6/22,SRAM
TPLL053_1b_RPG_Idoff_LT,A2A19,7/6/22,SRAM
TPLL053_1b_RPG_Vtsat_LT,A2A19,7/6/22,SRAM
TPLL053_4FET_RPD_Isoff_LT,A2A19,7/6/22,SRAM
TPLL053_FET_RPD_Idoff_LT,A2A19,7/6/22,SRAM
TPLL053_FET_RPD_Vtlin_LT,A2A19,7/6/22,SRAM
TPLL053_FET_RPD_Vtsat_LT,A2A19,7/6/22,SRAM
TPLL053_4FET_RPG_Isoff_LT,A2A19,7/6/22,SRAM
TPLL053_FET_RPG_Idoff_LT,A2A19,7/6/22,SRAM
TPLL053_FET_RPG_Vtlin_LT,A2A19,7/6/22,SRAM
TPLL053_FET_RPG_Vtsat_LT,A2A19,7/6/22,SRAM
PL032S_bl_cap_LT,A2A19,7/6/22,SRAM
,,,
DLW_N_EG_200_280_DDB_4_Ihigh@1.8V_LT,A2A19,7/6/22,Device
DLW_N_EG_150_230_DDB_4_Ihigh@1.8V_LT,A2A19,7/6/22,Device
DLW_N_EGV_100_180_DDB_4_Ihigh@1.5V_LT,A2A19,7/6/22,Device
DLW_N_EGV_100_180_DDB_4_Ioffd@1.5V_LT,A2A19,7/6/22,Device
DLW_N_EGU_80_160_DDB_4_Ihigh@1.2V_LT,A2A19,7/6/22,Device
,,,
NR9T4FMDBREF~Vtsat_100n_LT,A2A19,7/6/22,Device
NR9T4FMDBREF~Vtlin_100n_LT,A2A19,7/6/22,Device
NR9T4FMDBREF~Vta_2_LT,A2A19,7/6/22,Device
,,,
VR_RP_27_20_8_54_Vbd_i2_LT,A2AD4,7/6/22,REL
,,,
EN_HCI_before_LT,A2B3T,7/6/22,REL
EN_HCI_stress_ileak_ID_LT,A2B3T,7/6/22,REL
EN_HCI_stress_ileak_IS_LT,A2B3T,7/6/22,REL
SGP_NBTI_08_40F_U_Ref_IG_LT,A2B3T,7/6/22,REL
,,,
HOL_MOL_VBD_LR_DUTN_Lk075_LT,A2AD4,7/6/22,REL
,,,
TPLL053_ISB_LT,A2A19,7/6/22,SRAM
,,,
HOL_MOL_VBD_UR_DUTN_Lk075_LT,A2AD4,7/6/22,REL
,,,
M032_40FIN_B_PD_Vtsat_LT,A2A19,7/6/22,SRAM
M032_40FIN_C_PD_Vtsat_LT,A2A19,7/6/22,SRAM
M032_40FIN_D_PD_Vtsat_LT,A2A19,7/6/22,SRAM
M032_40FIN_E_PD_Vtsat_LT,A2A19,7/6/22,SRAM
PL032S_40FIN_C_PD_Vtsat_LT,A2A19,7/6/22,SRAM
,,,
P032_1b_SNM_075IRD_LT,A2AHN,7/4/22,SRAM
PL032S_1b_SNM_075IRD_LT,A2AHN,7/4/22,SRAM
,,,
OPEN_CACMM1_P_HOLE_D01_LT,A2AF5,7/1/22,FEOLMOL_HOL
OPEN_PCCBM1_N_2A_D01_LT,A2AF5,7/1/22,FEOLMOL_HOL
OPEN_PCCBM1_N_2A_D02_LT,A2AF5,7/1/22,FEOLMOL_HOL
OPEN_PCCBM1_N_2A_D03_LT,A2AF5,7/1/22,FEOLMOL_HOL
OPEN_PCCBM1_N_2A_D04_LT,A2AF5,7/1/22,FEOLMOL_HOL
OPEN_PCCBM1_N_2A_D05_LT,A2AF5,7/1/22,FEOLMOL_HOL
OPEN_PCCBM1_N_2A_D06_LT,A2AF5,7/1/22,FEOLMOL_HOL
OPEN_PCCBM1_N_2A_D07_LT,A2AF5,7/1/22,FEOLMOL_HOL
OPEN_PCCBM1_N_2A_D08_LT,A2AF5,7/1/22,FEOLMOL_HOL
,,,
BEOLCAP_D8_1w1s_VERTICAL_C0_LT,A2AF5,7/1/22,BEOL
H1_BEOLCAP_vertical_C0_LT,A2AF5,7/1/22,BEOL
G1_BEOLCAP_total_C0_LT,A2AF5,7/1/22,BEOL
,,,
CMBSRP_D8_DUT2_RES_LT,A2AF5,7/1/22,BEOL
,,,
METAL_KELVIN_D8_LT,A2AF5,7/1/22,BEOL
,,,
WireRes_D8_3W3S_Res_LT,A2AF5,7/1/22,BEOL
,,,
BEOL_STK_S7_kelvin~Res_LT,A2AF5,7/1/22,BEOL
,,,
P032_bit_PD_L_Vtlin_LT,A2AF5,7/1/22,SRAM
P032_bit_PG_L_Vtlin_LT,A2AF5,7/1/22,SRAM
P032_bit_PG_L_Vtsat_LT,A2AF5,7/1/22,SRAM
P032_bit_PD_R_Vtlin_LT,A2AF5,7/1/22,SRAM
P032_bit_PD_R_Vtsat_LT,A2AF5,7/1/22,SRAM
P032_bit_PG_R_Vtlin_LT,A2AF5,7/1/22,SRAM
P032_bit_PG_R_Vtsat_LT,A2AF5,7/1/22,SRAM
P032_1b_PD_Vtsat_avg_LT,A2AF5,7/1/22,SRAM
P032_SNM_LT,A2AF5,7/1/22,SRAM
P032_IREAD_L_LT,A2AF5,7/1/22,SRAM
P032_IREAD_R_LT,A2AF5,7/1/22,SRAM
