LotID,WFT_Yield,N,Sail_Yield,DG_Yield
8IQT14011.000,18.5546875,8,91.6186676,85.7439117
8IQT13010.000,25.5580349,14,90.4700012,90.272728
8IQT13010.000,25.5580349,14,91.9812469,90.272728
8IQT13018.000,21.3169651,14,93.1566696,90.5743484
8IQT13018.000,21.3169651,14,92.0177765,90.5743484
8IQT14013.000,23.2617321,23,87.9057159,80.5512009
8IQT14013.000,23.2617321,23,89.0975037,80.5512009
8IQT13022.000,13.5956631,25,93.8426666,90.4388046
8IQT13026.000,9.06602478,20,90.0813293,91.782608
8IQT14023.000,26.8973217,14,93.6699982,92.9899979
8IQT13027.000,21.6875,25,91.7886658,90.8905563
8IQT14009.000,22.5,15,94.8671417,88.1263657
8IQT14009.000,22.5,15,92.3025055,88.1263657
8IQT13016.000,18.489584,24,93.3280029,90.6513672
8IQT13003.000,32.8125,16,93.1566696,93.116188
8IQT13003.000,32.8125,16,93.1588898,93.116188
8IQT13023.000,25.2053566,25,90.1042862,82.1204376
8IQT13023.000,25.2053566,25,92.3037491,82.1204376
8IQT14001.000,26.145834,15,92.6446686,91.2460022
8IQT14016.000,25.46875,10,94.3550034,89.6078262
8IQT14016.000,25.46875,10,97.9440002,89.6078262
8IQT14028.000,23.75,25,95.7216644,87.916954
8IQT14028.000,23.75,25,92.3022232,87.916954
8IQT15004.000,31.0625,25,95.1875,95.2865219
8IQT15004.000,31.0625,25,92.6671448,95.2865219
8IQT15007.000,27.0559216,19,82.0462494,82.4826126
8IQT15007.000,27.0559216,19,90.8371429,82.4826126
8IQT14029.000,25.1736107,9,93.2884598,90.6509094
8IQT15000.000,31.25,8,95.2342911,90.903183
8IQT15000.000,31.25,8,94.5449982,90.903183
8IQT15005.000,14.9414063,16,87.8573303,88.3280029
8IQT15011.000,22.65625,4,88.5546188,86.3572769
8IQT16000.000,23.641304,23,92.814003,88.2804337
8IQT16000.000,23.641304,23,91.7900009,88.2804337
8IQT13024.000,19.393383,17,88.4550018,92.9240952
8IQT13024.000,19.393383,17,82.0477753,92.9240952
8IQT13017.000,26.902174,23,92.8166656,92.8695679
8IQT14005.000,24.2559528,24,93.7288895,89.1368179
8IQT14005.000,24.2559528,24,94.4400024,89.1368179
8IQT14010.000,20.667614,22,94.582222,85.7439117
8IQT14010.000,20.667614,22,92.7316666,85.7439117
8IQT15001.000,28.693182,11,93.7991714,94.6725006
8IQT14018.000,34.2447929,12,94.4391708,94.7180023
8IQT15010.000,21.09375,14,87.6016693,81.5609131
8IQT15010.000,21.09375,14,87.1744461,81.5609131
8IQT14012.000,18.6090221,19,93.5862503,89.6082611
8IQT14012.000,18.6090221,19,95.2342834,89.6082611
8IQT20005.000,21.6575089,13,91.316925,91.1572723
8IQT13005.000,14.914773,22,88.0273361,82.9665222
8IQT20012.000,26.6498451,23,86.5325012,87.6760864
8IQT20012.000,26.6498451,23,90.1042862,87.6760864
8IQT21002.000,28.2894745,19,95.4377823,91.8746185
8IQT21002.000,28.2894745,19,92.7299957,91.8746185
8IQT15003.000,24.644886,22,86.5846176,81.9394455
8IQT09012.000,31.25,8,90.25,90.2716675
8IQT14030.000,3.125,22,82.0459976,91.9154587
8IQT14030.000,3.125,22,81.2770004,91.9154587
8IQT14027.000,15.625,2,90.2513351,85.3490906
8IQT15002.000,27.6909714,18,90.7626648,88.4400024
8IQT12009.000,27.864584,18,89.223999,90.8835983
8IQT12009.000,27.864584,18,89.2259979,90.8835983
8IQT14019.000,26.1160717,21,94.5253372,89.6776199
8IQT20014.000,28.1635799,9,90.9207687,86.6118164
8IQT21000.000,29.921875,20,92.8722229,86.6347656
8IQT21000.000,29.921875,20,90.1650009,86.6347656
8IQT15016.000,21.2993412,19,89.9086685,86.7372742
8IQT21001.000,35.0694427,18,92.4733353,85.1404343
8IQT20007.000,26.358696,23,87.857338,82.2404327
8IQT16006.000,20.8984375,8,93.4876938,90.6509094
8IQT20011.000,24.388586,23,93.4861526,93.6827316
8IQT20016.000,32.1180573,9,96.7912521,92.1452179
8IQT20016.000,32.1180573,9,96.7000046,92.1452179
8IQT21005.000,35.137085,11,95.9671402,88.4000015
8IQT21005.000,35.137085,11,94.5462494,88.4000015
8IQT20015.000,34.1145821,24,89.0071411,90.9378281
8IQT20015.000,34.1145821,24,92.6224976,90.9378281
8IQT15022.000,12.771739,23,89.055336,92.3860855
8IQT21003.000,31.510416,6,93.5849991,93.0500031
8IQT21003.000,31.510416,6,96.5766678,93.0500031
8IQT21004.000,34.2329559,11,95.2623062,90.6527328
8IQT20004.000,33.6588554,24,96.5773315,91.662178
8IQT20013.000,38.671875,24,93.3280029,95.286087
8IQT20013.000,38.671875,24,94.0979996,95.286087
8IQT15012.000,28.125,20,91.7900009,89.2627258
8IQT16007.000,28.0089283,25,91.1053314,83.2091293
8IQT21017.000,22.8161545,19,94.8666687,90.9373932
8IQT21017.000,22.8161545,19,92.871109,90.9373932
8IQT20010.000,31.453804,23,91.6608353,86.4537506
8IQT22025.000,28.9434528,21,94.8675003,91.5413055
