Wafer ID,FAMILY_CODE,8_24C_Yield,22_24C_Yield,DI51_C5_M7125P125A_ST_A102_4M_Perfect,SailSM_K2_AllChains_1p25vFM_Perfect,SailSM_K2_AllChains_0p5vFM_LY,fin_res,fin_res_metric2,WETSTRIPSWPCP.1 Process Tool,PC DC10,WETSWSTRIPCTP.1 Process Tool,CT DC10,DC10
6A06F182SOF3,9S,0,0,94.4400024,94.8700027,64.8600006,N,0,DC10,1,DC09,0,1
6A05Z231SOE3,US,0,0,97.2200012,79.4800034,96.7699966,N,0,DC11,0,DC09,0,0
6A05Z233SOF4,US,0,0,97.2200012,79.4800034,100,N,0,DC11,0,DC09,0,0
6A06F190SOB3,US,0,0,94.4400024,74.3499985,100,N,0,DC11,0,DC10,1,1
6A06F173SOF1,US,0,0,100,76.9199982,96.6600037,N,0,DC11,0,DC09,0,0
6A06F223SOD7,US,0,0,97.2200012,74.3499985,100,N,0,DC11,0,DC10,1,1
6A06F225SOF0,US,0,0,94.4400024,,,N,0,DC11,0,DC10,1,1
6A06F379SOG6,US,0,0,97.2200012,,,N,0,DC11,0,DC09,0,0
6A06F409SOD7,US,0,0,91.6600037,,,N,0,DC11,0,DC09,0,0
6A063084SOA2,US,0,0,80.5500031,,,M,3,DC10,1,DC10,1,1
6A05Q039SOH2,9S,0,0,83.3300018,82.0500031,81.25,N,0,DC11,0,DC10,1,1
6A059153SOD0,US,0,0,66.6600037,,,N,0,DC09,0,DC11,0,0
6A05Z174SOG4,US,0,0,44.4399986,,,N,0,DC09,0,DC11,0,0
6A05R015SOD6,US,0,0,94.4400024,94.8700027,100,N,0,DC11,0,DC09,0,0
6A05R016SOA5,US,0,0,94.4400024,,,N,0,DC11,0,DC09,0,0
6A05R017SOE7,US,0,0,88.8799973,,,N,0,DC09,0,DC09,0,0
6A06C186SOG4,9S,0.02,0,91.6600037,,,N,0,DC10,1,DC11,0,1
6A06F221SOC6,US,0.02,0,97.2200012,92.3000031,86.1100006,N,0,DC11,0,DC10,1,1
6A06F307SOD5,US,0.02,0,80.5500031,,,M,6,DC11,0,DC10,1,1
6A06F308SOA4,US,0.02,0,94.4400024,,,N,0,DC11,0,DC09,0,0
6A05Q027SOB5,9S,0.02,0,88.8799973,84.6100006,87.8700027,N,0,DC11,0,DC10,1,1
6A05Q075SOA7,9S,0.02,0,50,69.2300034,96.2900009,Y,28,DC10,1,DC09,0,1
6A05Q078SOG2,9S,0.02,0,88.8799973,,,M,3,DC10,1,DC09,0,1
