,schema,wafer_id,geographykey,normalized_testx,normalized_testy,unitcell_x,unitcell_y,value,signature
0,p10dd2,wafer-1,66858744,17,76,3,8,0.0,bottom_arc_wafer
4,p10dd2,wafer-1,66859823,98,65,12,7,0.0,bottom_arc_wafer
25,p10dd2,wafer-1,66859201,44,109,6,11,0.0,bottom_arc_wafer
35,p10dd2,wafer-1,66859219,53,10,7,2,12.0,bottom_arc_wafer
71,p10dd2,wafer-1,66859464,71,54,9,6,0.0,bottom_arc_wafer
75,p10dd2,wafer-1,66859798,89,87,11,9,0.0,bottom_arc_wafer
128,p10dd2,wafer-1,66859324,62,43,8,5,0.0,bottom_arc_wafer
134,p10dd2,wafer-1,66859047,35,87,5,9,0.0,bottom_arc_wafer
141,p10dd2,wafer-1,66859699,89,65,11,7,0.0,bottom_arc_wafer
155,p10dd2,wafer-1,66859563,71,76,9,8,0.0,bottom_arc_wafer
196,p10dd2,wafer-1,66858872,26,98,4,10,0.0,bottom_arc_wafer
202,p10dd2,wafer-1,66859136,44,54,6,6,0.0,bottom_arc_wafer
241,p10dd2,wafer-1,66859084,44,10,6,2,5.0,bottom_arc_wafer
271,p10dd2,wafer-1,66859733,89,32,11,4,6.0,bottom_arc_wafer
284,p10dd2,wafer-1,66858961,35,76,5,8,0.0,bottom_arc_wafer
296,p10dd2,wafer-1,66858765,17,32,3,4,11.0,bottom_arc_wafer
308,p10dd2,wafer-1,66858701,8,43,2,5,10.0,bottom_arc_wafer
309,p10dd2,wafer-1,66858714,8,54,2,6,12.0,bottom_arc_wafer
321,p10dd2,wafer-1,66859707,80,98,10,10,0.0,bottom_arc_wafer
350,p10dd2,wafer-1,66858919,26,76,4,8,0.0,bottom_arc_wafer
351,p10dd2,wafer-1,66859115,44,98,6,10,0.0,bottom_arc_wafer
358,p10dd2,wafer-1,66859389,62,98,8,10,0.0,bottom_arc_wafer
360,p10dd2,wafer-1,66859524,71,43,9,5,14.0,bottom_arc_wafer
374,p10dd2,wafer-1,66859766,98,54,12,6,6.0,bottom_arc_wafer
378,p10dd2,wafer-1,66858948,35,65,5,7,0.0,bottom_arc_wafer
384,p10dd2,wafer-1,66859436,62,76,8,8,0.0,bottom_arc_wafer
391,p10dd2,wafer-1,66858830,17,87,3,9,0.0,bottom_arc_wafer
418,p10dd2,wafer-1,66859102,44,87,6,9,0.0,bottom_arc_wafer
450,p10dd2,wafer-1,66859785,89,76,11,8,0.0,bottom_arc_wafer
460,p10dd2,wafer-1,66859655,80,54,10,6,19.0,bottom_arc_wafer
462,p10dd2,wafer-1,66858667,8,76,2,8,0.0,bottom_arc_wafer
467,p10dd2,wafer-1,66859162,44,76,6,8,0.0,bottom_arc_wafer
475,p10dd2,wafer-1,66859746,89,43,11,5,6.0,bottom_arc_wafer
480,p10dd2,wafer-1,66859024,44,21,6,3,14.0,bottom_arc_wafer
514,p10dd2,wafer-1,66858654,8,65,2,7,0.0,bottom_arc_wafer
515,p10dd2,wafer-1,66859543,80,21,10,3,7.0,bottom_arc_wafer
520,p10dd2,wafer-1,66859498,71,21,9,3,14.0,bottom_arc_wafer
538,p10dd2,wafer-1,66859402,62,109,8,11,0.0,bottom_arc_wafer
547,p10dd2,wafer-1,66859371,62,21,8,3,7.0,bottom_arc_wafer
564,p10dd2,wafer-1,66859576,71,87,9,9,0.0,bottom_arc_wafer
600,p10dd2,wafer-1,66858982,35,32,5,4,10.0,bottom_arc_wafer
602,p10dd2,wafer-1,66859337,62,54,8,6,0.0,bottom_arc_wafer
617,p10dd2,wafer-1,66859642,80,43,10,5,7.0,bottom_arc_wafer
630,p10dd2,wafer-1,66859686,89,54,11,6,7.0,bottom_arc_wafer
673,p10dd2,wafer-1,66859311,62,32,8,4,15.0,bottom_arc_wafer
689,p10dd2,wafer-1,66859123,44,43,6,5,0.0,bottom_arc_wafer
695,p10dd2,wafer-1,66859060,35,98,5,10,0.0,bottom_arc_wafer
706,p10dd2,wafer-1,66859263,53,109,7,11,0.0,bottom_arc_wafer
726,p10dd2,wafer-1,66858791,17,54,3,6,17.0,bottom_arc_wafer
732,p10dd2,wafer-1,66859423,62,65,8,7,0.0,bottom_arc_wafer
737,p10dd2,wafer-1,66858820,26,54,4,6,13.0,bottom_arc_wafer
776,p10dd2,wafer-1,66859149,44,65,6,7,0.0,bottom_arc_wafer
844,p10dd2,wafer-1,66858778,17,43,3,5,5.0,bottom_arc_wafer
856,p10dd2,wafer-1,66859668,80,65,10,7,0.0,bottom_arc_wafer
882,p10dd2,wafer-1,66859271,53,54,7,6,0.0,bottom_arc_wafer
893,p10dd2,wafer-1,66859232,53,21,7,3,14.0,bottom_arc_wafer
894,p10dd2,wafer-1,66859297,53,76,7,8,0.0,bottom_arc_wafer
895,p10dd2,wafer-1,66859477,71,65,9,7,0.0,bottom_arc_wafer
898,p10dd2,wafer-1,66859621,80,87,10,9,0.0,bottom_arc_wafer
909,p10dd2,wafer-1,66858932,26,87,4,9,0.0,bottom_arc_wafer
912,p10dd2,wafer-1,66859172,53,32,7,4,16.0,bottom_arc_wafer
926,p10dd2,wafer-1,66859250,53,98,7,10,0.0,bottom_arc_wafer
949,p10dd2,wafer-1,66859608,80,76,10,8,0.0,bottom_arc_wafer
952,p10dd2,wafer-1,66858854,26,21,4,3,18.0,bottom_arc_wafer
953,p10dd2,wafer-1,66859358,62,10,8,2,6.0,bottom_arc_wafer
956,p10dd2,wafer-1,66858807,26,43,4,5,17.0,bottom_arc_wafer
967,p10dd2,wafer-1,66859037,44,32,6,4,15.0,bottom_arc_wafer
984,p10dd2,wafer-1,66858995,35,43,5,5,6.0,bottom_arc_wafer
991,p10dd2,wafer-1,66858867,26,32,4,4,9.0,bottom_arc_wafer
996,p10dd2,wafer-1,66859185,53,43,7,5,0.0,bottom_arc_wafer
1006,p10dd2,wafer-1,66858731,17,65,3,7,0.0,bottom_arc_wafer
1027,p10dd2,wafer-1,66859008,35,54,5,6,0.0,bottom_arc_wafer
1029,p10dd2,wafer-1,66859237,53,87,7,9,0.0,bottom_arc_wafer
1042,p10dd2,wafer-1,66858896,35,21,5,3,16.0,bottom_arc_wafer
1086,p10dd2,wafer-1,66859556,80,32,10,4,11.0,bottom_arc_wafer
1094,p10dd2,wafer-1,66859284,53,65,7,7,0.0,bottom_arc_wafer
1112,p10dd2,wafer-1,66858906,26,65,4,7,0.0,bottom_arc_wafer
1131,p10dd2,wafer-1,66859449,62,87,8,9,0.0,bottom_arc_wafer
1137,p10dd2,wafer-1,66859589,71,98,9,10,0.0,bottom_arc_wafer
1163,p10dd2,wafer-1,66859511,71,32,9,4,12.0,bottom_arc_wafer
0,p10dd2,wafer-2,66858744,17,76,3,8,0.0,bottom_arc_wafer
4,p10dd2,wafer-2,66859823,98,65,12,7,0.0,bottom_arc_wafer
25,p10dd2,wafer-2,66859201,44,109,6,11,0.0,bottom_arc_wafer
35,p10dd2,wafer-2,66859219,53,10,7,2,9.0,bottom_arc_wafer
71,p10dd2,wafer-2,66859464,71,54,9,6,0.0,bottom_arc_wafer
75,p10dd2,wafer-2,66859798,89,87,11,9,0.0,bottom_arc_wafer
128,p10dd2,wafer-2,66859324,62,43,8,5,0.0,bottom_arc_wafer
134,p10dd2,wafer-2,66859047,35,87,5,9,0.0,bottom_arc_wafer
141,p10dd2,wafer-2,66859699,89,65,11,7,0.0,bottom_arc_wafer
155,p10dd2,wafer-2,66859563,71,76,9,8,0.0,bottom_arc_wafer
196,p10dd2,wafer-2,66858872,26,98,4,10,0.0,bottom_arc_wafer
202,p10dd2,wafer-2,66859136,44,54,6,6,0.0,bottom_arc_wafer
241,p10dd2,wafer-2,66859084,44,10,6,2,11.0,bottom_arc_wafer
271,p10dd2,wafer-2,66859733,89,32,11,4,14.0,bottom_arc_wafer
284,p10dd2,wafer-2,66858961,35,76,5,8,0.0,bottom_arc_wafer
296,p10dd2,wafer-2,66858765,17,32,3,4,12.0,bottom_arc_wafer
308,p10dd2,wafer-2,66858701,8,43,2,5,9.0,bottom_arc_wafer
309,p10dd2,wafer-2,66858714,8,54,2,6,18.0,bottom_arc_wafer
321,p10dd2,wafer-2,66859707,80,98,10,10,0.0,bottom_arc_wafer
350,p10dd2,wafer-2,66858919,26,76,4,8,0.0,bottom_arc_wafer
351,p10dd2,wafer-2,66859115,44,98,6,10,0.0,bottom_arc_wafer
358,p10dd2,wafer-2,66859389,62,98,8,10,0.0,bottom_arc_wafer
360,p10dd2,wafer-2,66859524,71,43,9,5,5.0,bottom_arc_wafer
374,p10dd2,wafer-2,66859766,98,54,12,6,6.0,bottom_arc_wafer
378,p10dd2,wafer-2,66858948,35,65,5,7,0.0,bottom_arc_wafer
384,p10dd2,wafer-2,66859436,62,76,8,8,0.0,bottom_arc_wafer
391,p10dd2,wafer-2,66858830,17,87,3,9,0.0,bottom_arc_wafer
418,p10dd2,wafer-2,66859102,44,87,6,9,0.0,bottom_arc_wafer
450,p10dd2,wafer-2,66859785,89,76,11,8,0.0,bottom_arc_wafer
460,p10dd2,wafer-2,66859655,80,54,10,6,5.0,bottom_arc_wafer
